Identifier,Station Number,Lat,Lon,Name,Start,End
BRM00082026,82026,2.2239,-55.9472,TIRIOS,2006,2020
BRM00082099,82099,0.05,-51.0667,MACAPA (AERO),2005,2020
BRM00082107,82107,-0.1167,-66.9667,SAO GABRIEL DA CACHOEIRA,2008,2020
BRM00082193,82193,-1.3833,-48.4833,BELEM (AERO),1943,2020
BRM00082244,82244,-2.4333,-54.7167,SANTAREM (AERO),1973,2020
BRM00082281,82281,-2.6,-44.2333,SAO LUIZ (AERO),1971,2020
BRM00082332,82332,-3.15,-59.9833,MANAUS (AERO),1967,2020
BRM00082400,82400,-3.85,-32.4167,FERNANDO DE NORONHA,1958,2020
BRM00082411,82411,-4.25,-69.9333,TABATINGA (AERO),2006,2020
BRM00082532,82532,-5.8167,-61.2833,MANICORE (AERO),2006,2020
BRM00082599,82599,-5.9167,-35.25,NATAL (AERO),1943,2020
BRM00082705,82705,-7.5833,-72.7667,CRUZEIRO DO SUL (AERO),2004,2020
BRM00082765,82765,-7.3333,-47.4667,CAROLINA,1970,2020
BRM00082824,82824,-8.7667,-63.9167,PORTO VELHO (AERO),1977,2020
BRM00082917,82917,-10,-67.8,RIO BRANCO (AERO),2004,2020
BRM00082965,82965,-9.8667,-56.1,ALTA FLORESTA (AERO),1987,2020
BRM00082983,82983,-9.3833,-40.4833,PETROLINA,1970,2020
BRM00083208,83208,-12.7,-60.1,VILHENA (AERO),1967,2020
BRM00083362,83362,-15.65,-56.1,CUIABA (AERO),1974,2020
BRM00083378,83378,-15.8667,-47.9333,BRASILIA (AERO),1966,2020
BRM00083525,83525,-18.8833,-48.2167,UBERLANDIA (AERO),2006,2020
BRM00083554,83554,-19,-57.6667,CORUMBA (AERO),2002,2020
BRM00083566,83566,-19.6167,-43.9667,CONFINS (AERO),1973,2020
BRM00083612,83612,-20.4667,-54.6667,CAMPO GRANDE (AERO),1966,2020
BRM00083649,83649,-20.2667,-40.2833,VITORIA (AERO),1973,2020
BRM00083746,83746,-22.8167,-43.25,GALEAO,1961,2020
BRM00083768,83768,-23.3333,-51.1333,LONDRINA (AERO),1973,2020
BRM00083779,83779,-23.5,-46.6333,MARTE (AERO),2000,2020
BRM00083827,83827,-25.5167,-54.5833,FOZ DO IGUACU (AERO),1974,2020
BRM00083840,83840,-25.5167,-49.1667,CURITIBA (AERO),1965,2020
BRM00083899,83899,-27.6667,-48.55,FLORIANOPOLIS (AERO),1973,2020
BRM00083928,83928,-29.7833,-57.0333,URUGUAIANA (AERO),1973,2020
BRM00083937,83937,-29.7167,-53.7,SANTA MARIA (AERO),2006,2020
BRM00083971,83971,-30,-51.1833,PORTO ALEGRE (AERO),1950,2020
BUM00015614,15614,42.65,23.3833,SOFIA (OBSERV.),1955,2020
BXM00096315,96315,4.9333,114.9333,BRUNEI AIRPORT,1981,2020
CAM00071043,71043,65.2833,-126.75,NORMAN WELLS UA,1951,2020
CAM00071081,71081,68.7667,-81.2167,HALL BEACH UA,1957,2020
CAM00071082,71082,82.5,-62.3333,ALERT UA,1950,2020
CAM00071109,71109,50.685,-127.3758,PORT HARDY UA,1951,2020
CAM00071119,71119,53.5475,-114.1083,EDMONTON STONY PLAIN,1946,2020
CAM00071603,71603,43.8667,-66.1,YARMOUTH UA,1988,2020
CAM00071701,71701,45.8333,-66.4333,GAGETOWN A,1971,2020
CAM00071722,71722,46.3019,-76.0061,MANIWAKI UA,1954,2020
